cal,C14,error
7855,7022,20
7850,7022,20
7845,7016,21
7840,7006,20
7835,6993,21
7830,6980,21
7825,6970,20
7820,6966,21
7815,6973,21
7810,6985,20
7805,6995,21
7800,6995,21
7795,6982,20
7790,6964,22
7785,6950,21
7780,6942,20
7775,6938,22
7770,6939,21
7765,6941,21
7760,6943,22
7755,6942,22
7750,6937,21
7745,6931,22
7740,6924,23
7735,6920,22
7730,6916,21
7725,6914,22
7720,6913,22
7715,6912,22
7710,6912,23
7705,6910,24
7700,6906,22
7695,6900,21
7690,6891,22
7685,6878,22
7680,6863,24
7675,6846,26
7670,6827,24
7665,6809,22
7660,6796,22
7655,6788,21
7650,6785,21
7645,6787,23
7640,6791,23
7635,6797,21
7630,6801,20
7625,6801,21
7620,6793,21
7615,6779,20
7610,6764,21
7605,6754,22
7600,6752,20
7595,6754,21
7590,6752,21
7585,6744,20
7580,6729,21
7575,6706,22
7570,6677,20
7565,6648,20
7560,6625,21
7555,6612,20
7550,6609,19
7545,6616,21
7540,6631,21
7535,6652,20
7530,6672,20
7525,6681,21
7520,6674,21
7515,6651,20
7510,6625,22
7505,6608,22
7500,6603,20
7495,6604,22
7490,6605,22
7485,6602,20
7480,6595,21
7475,6586,23
7470,6577,22
7465,6569,20
7460,6563,20
7455,6563,21
7450,6569,20
7445,6579,18
7440,6590,17
7435,6592,14
7430,6560,14
7425,6501,14
7420,6449,14
7415,6428,14
7410,6417,14
7405,6414,15
7400,6423,15
7395,6432,16
7390,6439,16
7385,6444,15
7380,6455,16
7375,6467,16
7370,6471,16
7365,6464,16
7360,6455,17
7355,6451,19
7350,6451,19
7345,6453,18
7340,6452,19
7335,6447,20
7330,6435,19
7325,6420,18
7320,6404,18
7315,6390,19
7310,6381,19
7305,6377,18
7300,6377,18
7295,6378,19
7290,6380,20
7285,6380,20
7280,6377,19
7275,6371,18
7270,6361,18
7265,6348,19
7260,6331,18
7255,6312,17
7250,6293,19
7245,6277,20
7240,6266,19
7235,6259,18
7230,6256,18
7225,6257,20
7220,6261,21
7215,6268,21
7210,6277,22
7205,6287,23
7200,6297,25
7195,6306,27
7190,6312,27
7185,6315,24
7180,6313,22
7175,6303,22
7170,6284,23
7165,6254,22
7160,6215,20
7155,6177,20
7150,6147,21
7145,6131,20
7140,6133,18
7135,6144,19
7130,6158,20
7125,6168,18
7120,6176,19
7115,6182,21
7110,6186,21
7105,6189,21
7100,6191,21
7095,6193,19
7090,6195,18
7085,6194,20
7080,6193,19
7075,6189,19
7070,6184,20
7065,6179,19
7060,6175,20
7055,6175,21
7050,6178,20
7045,6183,19
7040,6187,19
7035,6189,19
7030,6186,19
7025,6181,20
7020,6174,21
7015,6167,20
7010,6159,19
7005,6151,19
7000,6142,20
6995,6133,19
6990,6124,19
6985,6117,20
6980,6112,19
6975,6109,20
6970,6109,22
6965,6110,21
6960,6109,20
6955,6105,21
6950,6096,20
6945,6081,19
6940,6067,19
6935,6060,18
6930,6058,20
6925,6058,19
6920,6060,18
6915,6062,19
6910,6063,20
6905,6062,18
6900,6058,18
6895,6050,18
6890,6039,18
6885,6027,18
6880,6017,18
6875,6015,19
6870,6020,18
6865,6025,18
6860,6025,17
6855,6019,17
6850,6009,17
6845,5997,17
6840,5990,18
6835,5989,17
6830,5987,18
6825,5982,18
6820,5987,19
6815,6002,18
6810,6015,18
6805,6016,17
6800,6003,18
6795,5984,19
6790,5968,19
6785,5955,19
6780,5945,18
6775,5937,18
6770,5938,19
6765,5945,19
6760,5954,18
6755,5957,19
6750,5950,19
6745,5934,19
6740,5916,22
6735,5902,22
6730,5891,21
6725,5884,21
6720,5881,23
6715,5880,22
6710,5882,21
6705,5886,21
6700,5890,22
6695,5894,22
6690,5898,20
6685,5899,19
6680,5895,19
6675,5883,19
6670,5866,21
6665,5849,19
6660,5834,18
6655,5825,18
6650,5820,18
6645,5817,18
6640,5814,16
6635,5807,16
6630,5796,18
6625,5786,19
6620,5780,20
6615,5780,19
6610,5782,20
6605,5779,19
6600,5773,17
6595,5769,18
6590,5772,18
6585,5780,17
6580,5789,18
6575,5794,19
6570,5790,19
6565,5781,18
6560,5769,19
6555,5757,20
6550,5750,20
6545,5749,19
6540,5749,19
6535,5746,19
6530,5742,19
6525,5740,19
6520,5743,18
6515,5748,20
6510,5752,20
6505,5751,19
6500,5743,20
6495,5726,20
6490,5706,20
6485,5691,21
6480,5684,20
6475,5684,20
6470,5687,21
6465,5691,19
6460,5693,20
6455,5691,20
6450,5684,19
6445,5673,21
6440,5658,20
6435,5645,20
6430,5642,20
6425,5650,19
6420,5662,18
6415,5669,17
6410,5662,17
6405,5643,17
6400,5623,17
6395,5598,17
6390,5576,18
6385,5560,19
6380,5557,20
6375,5567,20
6370,5581,20
6365,5594,21
6360,5598,20
6355,5594,19
6350,5586,21
6345,5581,20
6340,5578,19
6335,5580,20
6330,5584,18
6325,5587,18
6320,5583,19
6315,5572,18
6310,5556,18
6305,5539,19
6300,5520,19
6295,5501,17
6290,5482,16
6285,5463,17
6280,5444,19
6275,5424,18
6270,5406,17
6265,5391,17
6260,5381,18
6255,5379,19
6250,5385,18
6245,5397,17
6240,5413,16
6235,5427,17
6230,5437,17
6225,5439,17
6220,5434,16
6215,5425,16
6210,5413,17
6205,5399,18
6200,5385,17
6195,5372,16
6190,5359,16
6185,5345,17
6180,5330,18
6175,5316,18
6170,5302,17
6165,5292,17
6160,5287,18
6155,5291,18
6150,5303,18
6145,5321,17
6140,5339,18
6135,5353,19
6130,5358,19
6125,5352,19
6120,5336,18
6115,5316,19
6110,5296,21
6105,5279,22
6100,5270,21
6095,5270,19
6090,5278,17
6085,5290,18
